year,mark,min_rank,max_rank,count,max_percentile,min_percentile,total_students
2025,200,1,141,141,100.0,99.94,239299
2025,199,142,717,576,99.94,99.7,239299
2025,198,718,1511,794,99.7,99.37,239299
2025,197,1512,2511,1000,99.37,98.95,239299
2025,196,2512,3769,1258,98.95,98.43,239299
2025,195,3770,5251,1482,98.42,97.81,239299
2025,194,5252,6842,1591,97.81,97.14,239299
2025,193,6843,8458,1616,97.14,96.47,239299
2025,192,8459,10206,1748,96.47,95.74,239299
2025,191,10207,12003,1797,95.74,94.98,239299
2025,190,12004,13958,1955,94.98,94.17,239299
2025,189,13959,15973,2015,94.17,93.33,239299
2025,188,15974,18070,2097,93.33,92.45,239299
2025,187,18071,20242,2172,92.45,91.54,239299
2025,186,20243,22415,2173,91.54,90.63,239299
2025,185,22416,24661,2246,90.63,89.69,239299
2025,184,24662,27009,2348,89.69,88.71,239299
2025,183,27010,29405,2396,88.71,87.71,239299
2025,182,29406,31745,2340,87.71,86.73,239299
2025,181,31746,34187,2442,86.73,85.71,239299
2025,180,34188,36665,2478,85.71,84.68,239299
2025,179,36666,39145,2480,84.68,83.64,239299
2025,178,39146,41683,2538,83.64,82.58,239299
2025,177,41684,44263,2580,82.58,81.5,239299
2025,176,44264,46864,2601,81.5,80.42,239299
2025,175,46865,49465,2601,80.42,79.33,239299
2025,174,49466,52126,2661,79.33,78.22,239299
2025,173,52127,54849,2723,78.22,77.08,239299
2025,172,54850,57554,2705,77.08,75.95,239299
2025,171,57555,60309,2755,75.95,74.8,239299
2025,170,60310,63083,2774,74.8,73.64,239299
2025,169,63084,65764,2681,73.64,72.52,239299
2025,168,65765,68506,2742,72.52,71.37,239299
2025,167,68507,71324,2818,71.37,70.2,239299
2025,166,71325,74084,2760,70.19,69.04,239299
2025,165,74085,76903,2819,69.04,67.86,239299
2025,164,76904,79775,2872,67.86,66.66,239299
2025,163,79776,82637,2862,66.66,65.47,239299
2025,162,82638,85441,2804,65.47,64.3,239299
2025,161,85442,88339,2898,64.3,63.08,239299
2025,160,88340,91153,2814,63.08,61.91,239299
2025,159,91154,94067,2914,61.91,60.69,239299
2025,158,94068,96947,2880,60.69,59.49,239299
2025,157,96948,99804,2857,59.49,58.29,239299
2025,156,99805,102635,2831,58.29,57.11,239299
2025,155,102636,105405,2770,57.11,55.95,239299
2025,154,105406,108273,2868,55.95,54.75,239299
2025,153,108274,111070,2797,54.75,53.59,239299
2025,152,111071,113984,2914,53.59,52.37,239299
2025,151,113985,116778,2794,52.37,51.2,239299
2025,150,116779,119537,2759,51.2,50.05,239299
2025,149,119538,122376,2839,50.05,48.86,239299
2025,148,122377,125202,2826,48.86,47.68,239299
2025,147,125203,127899,2697,47.68,46.55,239299
2025,146,127900,130689,2790,46.55,45.39,239299
2025,145,130690,133560,2871,45.39,44.19,239299
2025,144,133561,136394,2834,44.19,43.0,239299
2025,143,136395,139046,2652,43.0,41.89,239299
2025,142,139047,141786,2740,41.89,40.75,239299
2025,141,141787,144465,2679,40.75,39.63,239299
2025,140,144466,147216,2751,39.63,38.48,239299
2025,139,147217,149918,2702,38.48,37.35,239299
2025,138,149919,152554,2636,37.35,36.25,239299
2025,137,152555,155230,2676,36.25,35.13,239299
2025,136,155231,157731,2501,35.13,34.09,239299
2025,135,157732,160389,2658,34.09,32.98,239299
2025,134,160390,163095,2706,32.98,31.85,239299
2025,133,163096,165752,2657,31.84,30.73,239299
2025,132,165753,168373,2621,30.73,29.64,239299
2025,131,168374,170916,2543,29.64,28.58,239299
2025,130,170917,173496,2580,28.58,27.5,239299
2025,129,173497,175951,2455,27.5,26.47,239299
2025,128,175952,178300,2349,26.47,25.49,239299
2025,127,178301,180633,2333,25.49,24.52,239299
2025,126,180634,182999,2366,24.52,23.53,239299
2025,125,183000,185313,2314,23.53,22.56,239299
2025,124,185314,187647,2334,22.56,21.59,239299
2025,123,187648,189888,2241,21.58,20.65,239299
2025,122,189889,192163,2275,20.65,19.7,239299
2025,121,192164,194418,2255,19.7,18.76,239299
2025,120,194419,196610,2192,18.76,17.84,239299
2025,119,196611,198701,2091,17.84,16.97,239299
2025,118,198702,200689,1988,16.97,16.14,239299
2025,117,200690,202623,1934,16.13,15.33,239299
2025,116,202624,204611,1988,15.33,14.5,239299
2025,115,204612,206614,2003,14.5,13.66,239299
2025,114,206615,208566,1952,13.66,12.84,239299
2025,113,208567,210477,1911,12.84,12.04,239299
2025,112,210478,212374,1897,12.04,11.25,239299
2025,111,212375,214167,1793,11.25,10.5,239299
2025,110,214168,215928,1761,10.5,9.77,239299
2025,109,215929,217663,1735,9.77,9.04,239299
